2.5,12,"[0.00115, 0.02044, 0.01592, 0.07438, 0.05385, 0.08392, 0.00796, 0.01135, 0.00405, 0.00422]","[0.21024]","[7]",10,1
2.5,13,"[0.00317, 0.01361, 0.00799, 0.07528, 0.04424, 0.01219]","[0.22427, 0.23808]","[4, 2]",6,2
2.5,14,"[0.03467, 0.01449, 0.01255, 0.03174, 0.0078, 0.01632, 0.0158, 0.01388, 0.07258]","[]","[]",9,0
2.5,15,"[0.08909, 0.00072, 0.07242, 0.01147, 0.01358, 0.00078, 0.01265, 0.00181, 0.00097, 0.0191, 0.0557, 0.05992]","[0.23053, 0.21456, 0.2032]","[1, 3, 8]",12,3
2.5,16,"[0.001, 0.07257, 0.09505, 0.08642, 0.02563, 0.0306, 0.025, 0.05923]","[0.29315]","[8]",8,1
2.5,17,"[0.00562, 0.00107, 0.03449, 0.01049, 0.06877, 0.0197, 0.03631, 0.01756, 0.01162]","[0.24077, 0.22763]","[5, 3]",9,2
2.5,18,"[0.02162, 0.03018, 0.05324, 0.08013, 0.09559, 0.04852, 0.00234]","[]","[]",7,0
2.5,19,"[0.00069, 0.0502, 0.01699, 0.06639, 0.01135, 0.00405, 0.00422, 0.00594, 0.03965, 0.02346]","[0.20196]","[4]",10,1
2.5,20,"[0.01851, 0.01079, 0.00421, 0.03078, 0.00904, 0.05052]","[]","[]",6,0
2.5,21,"[0.01885, 0.02722, 0.03885, 0.0017, 0.04414, 0.06252, 0.0508, 0.02289, 0.04905]","[]","[]",9,0
2.5,22,"[0.00297, 0.001, 0.0052, 0.06788, 0.04469, 0.00896]","[]","[]",6,0
2.5,23,"[0.00184, 0.04716, 0.01344, 0.04689, 0.04658, 0.08847, 0.08427, 0.04758]","[]","[]",8,0
2.5,24,"[0.02395, 0.00126, 0.04176, 0.00246, 0.01021, 0.0338, 0.00926, 0.0018]","[0.22799, 0.20999]","[5, 3]",8,2
2.5,25,"[0.0003, 0.01973, 0.0096, 0.00116, 0.01135, 0.00405, 0.00422, 0.00594, 0.03965, 0.02346]","[0.21796, 0.22896]","[2, 2]",10,2
2.5,26,"[0.02154, 0.04369, 0.01303, 0.06044, 0.00144, 0.01943, 0.05296, 0.06555, 0.09373]","[]","[]",9,0
2.5,27,"[0.00475, 0.01383, 0.05812, 0.0089, 0.07136, 0.00627, 0.04424, 0.01219]","[0.29582, 0.23808]","[6, 2]",8,2
