2.5,0,"[0.00549]","[0.02604, 0.05591]","[0, 1]",1,2
2.5,27,"[0.00067, 0.00255, 0.00422, 0.00464, 0.00117, 0.0091, 0.0079, 0.00262, 0.00686, 0.00047, 0.00077, 0.00164, 0.00388]","[0.0463, 0.04701, 0.05776, 0.03554, 0.02092, 0.06038, 0.0394, 0.02867, 0.07804, 0.02728, 0.04804, 0.04786, 0.04066, 0.05423, 0.02076, 0.02749, 0.13881, 0.04636, 0.03856, 0.02061]","[1, 2, 1, 1, 0, 0, 0, 2, 1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",13,20
2.5,28,"[0.00058, 0.00829, 0.00302, 0.00783, 0.00124, 0.00145, 5e-05, 0.00636, 0.0006, 0.00072]","[0.02483, 0.07144, 0.02663, 0.02699, 0.03933, 0.05812, 0.02007, 0.0226, 0.20324, 0.06835, 0.03231, 0.04943, 0.02265, 0.02434, 0.06976, 0.06862, 0.05355, 0.04636, 0.0216, 0.02621]","[0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1]",10,20
2.5,29,"[0.00091, 0.00576, 0.00772, 0.0086, 0.00865, 0.00118, 0.00161, 0.00438, 0.00695, 0.00673, 0.00507, 0.00586, 0.00356, 0.00659]","[0.05564, 0.02479, 0.03165, 0.03242, 0.03092, 0.062, 0.03884, 0.02263, 0.02507, 0.05109, 0.07497, 0.0605, 0.05431, 0.02919, 0.06678]","[0, 0, 1, 3, 2, 1, 0, 0, 0, 0, 1, 1, 3, 0, 1]",14,15
2.5,30,"[0.00866, 0.00797, 0.00716, 0.00826, 0.00194, 0.00118, 0.00852, 0.00271, 0.00768, 0.00122, 0.00059, 0.00073, 0.00092, 0.00068, 0.00139, 0.00312, 0.00233, 0.001, 0.0063, 0.00204, 0.00475, 0.00053, 0.0035, 0.00563, 0.00492, 0.00444]","[0.05119, 0.05226, 0.04517, 0.02791, 0.07774, 0.03475, 0.07336, 0.0247, 0.02859, 0.02062, 0.02818, 0.0823, 0.02668, 0.0501, 0.02096, 0.03284, 0.03144, 0.02998, 0.02171, 0.02103]","[2, 0, 1, 0, 4, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 3, 0, 2, 3, 2]",26,20
2.5,31,"[0.00843, 0.00526, 0.00272, 0.00058, 0.00829, 0.00302, 0.00783, 0.00124, 0.00145, 5e-05, 0.00636, 0.0006, 0.00072]","[0.03446, 0.05156, 0.07144, 0.02663, 0.02699, 0.03933, 0.05812, 0.02007, 0.0226, 0.20324, 0.06835, 0.03231, 0.04943, 0.02265, 0.02434, 0.06976, 0.06862, 0.05355, 0.04636, 0.0216, 0.02621]","[1, 2, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1]",13,21
2.5,32,"[0.00071, 0.00443, 0.00704, 0.00051, 0.0046, 0.00115, 0.00064, 0.00837, 0.00844, 0.00129, 0.00053, 0.00172, 0.00839, 0.00085, 0.00441, 0.00085, 0.00221, 0.00604, 0.00839, 0.00246, 0.00723, 0.0008, 0.00186, 0.00323, 0.00546, 0.00156, 0.008, 0.00524, 0.00278, 0.0002]","[0.11309, 0.03727, 0.09212, 0.02365, 0.02523, 0.03225, 0.02948, 0.02526, 0.04797, 0.04562, 0.1194, 0.07918, 0.06977, 0.02071, 0.03438, 0.06674, 0.03899, 0.02076, 0.02465, 0.13157, 0.05187, 0.04013]","[1, 1, 1, 1, 0, 1, 0, 4, 1, 1, 2, 0, 1, 2, 1, 2, 1, 1, 2, 5, 0, 2]",30,22
2.5,33,"[0.00036, 0.00443, 0.00704, 0.00051, 0.0046, 0.00115, 0.00064, 0.00837, 0.00844, 0.00129, 0.00053, 0.00172, 0.00839, 0.00085, 0.00441, 0.00085, 0.00221, 0.00604, 0.00839, 0.00246, 0.00723, 0.0008, 0.00186, 0.00323, 0.00546, 0.00156, 0.008, 0.00524, 0.00278, 0.0002]","[0.0591, 0.03727, 0.09212, 0.02365, 0.02523, 0.03225, 0.02948, 0.02526, 0.04797, 0.04562, 0.1194, 0.07918, 0.06977, 0.02071, 0.03438, 0.06674, 0.03899, 0.02076, 0.02465, 0.13157, 0.05187, 0.04013]","[1, 1, 1, 1, 0, 1, 0, 4, 1, 1, 2, 0, 1, 2, 1, 2, 1, 1, 2, 5, 0, 2]",30,22
2.5,34,"[0.00817, 0.00186, 0.00199, 0.00411, 0.00319, 0.00491, 0.00171, 0.00189, 0.00695, 0.00673, 0.00507, 0.00586, 0.00356, 0.00659, 0.00662, 0.00663, 0.00338, 0.00143, 0.00629, 0.00214, 0.00833, 0.00696, 0.00157]","[0.03959, 0.13996, 0.0471, 0.03128, 0.02309, 0.03188, 0.04033, 0.13066, 0.0605, 0.05431, 0.02919, 0.06678, 0.04054, 0.07684, 0.02754, 0.0209, 0.06815, 0.04966, 0.03766, 0.05749, 0.07547]","[0, 0, 0, 0, 1, 3, 4, 0, 1, 3, 0, 1, 1, 2, 1, 1, 0, 0, 0, 2, 3]",23,21
2.5,35,"[0.00192, 0.00358, 0.00471, 0.00049, 0.00716, 0.00826, 0.00194, 0.00118, 0.00852, 0.00271, 0.00768, 0.00122, 0.00059, 0.00073, 0.00092, 0.00068, 0.00139, 0.00312, 0.00233, 0.001, 0.0063, 0.00204, 0.00475, 0.00053, 0.0035, 0.00563, 0.00492, 0.00444]","[0.02311, 0.04031, 0.06359, 0.06216, 0.04822, 0.02268, 0.05779, 0.05226, 0.04517, 0.02791, 0.07774, 0.03475, 0.07336, 0.0247, 0.02859, 0.02062, 0.02818, 0.0823, 0.02668, 0.0501, 0.02096, 0.03284, 0.03144, 0.02998, 0.02171, 0.02103]","[0, 2, 1, 1, 0, 0, 0, 0, 1, 0, 4, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 3, 0, 2, 3, 2]",28,26
2.5,36,"[0.00556, 0.00154, 0.0048, 0.0091, 0.0079, 0.00262, 0.00686, 0.00047, 0.00077, 0.00164, 0.00388]","[0.04992, 0.03701, 0.07998, 0.0394, 0.02867, 0.07804, 0.02728, 0.04804, 0.04786, 0.04066, 0.05423, 0.02076, 0.02749, 0.13881, 0.04636, 0.03856, 0.02061]","[0, 1, 2, 0, 2, 1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",11,17
