2.5,35,"[0.00968, 0.00886, 0.00914, 0.00378, 0.00278, 0.00169, 0.00077, 0.00091, 0.0025, 0.00153, 0.00206, 0.00616, 0.00602, 0.00195, 0.00107, 0.00835, 0.00638, 0.00185, 0.0026, 0.0024, 0.00576, 0.00686]","[0.06263, 0.02417, 0.02031, 0.09011, 0.02349, 0.02098, 0.0295, 0.05423, 0.05832, 0.08539, 0.02765, 0.02376, 0.11529, 0.05096, 0.04978, 0.10158, 0.02686, 0.06246, 0.02562, 0.02236, 0.03932, 0.02849, 0.1082, 0.03737, 0.03753]","[1, 0, 1, 1, 1, 0, 0, 0, 2, 1, 0, 1, 3, 2, 1, 4, 0, 1, 0, 1, 1, 0, 0, 1, 0]",22,25
2.5,36,"[0.00703, 0.00886, 0.00767, 0.00378, 0.00278, 0.00169, 0.00077, 0.00091, 0.0025, 0.00153, 0.00206, 0.00616, 0.00602, 0.00195, 0.00107, 0.00835, 0.00638, 0.00185, 0.0026, 0.0024, 0.00576, 0.00686]","[0.02031, 0.11034, 0.02349, 0.02098, 0.0295, 0.05423, 0.05832, 0.08539, 0.02765, 0.02376, 0.11529, 0.05096, 0.04978, 0.10158, 0.02686, 0.06246, 0.02562, 0.02236, 0.03932, 0.02849, 0.1082, 0.03737, 0.03753]","[1, 2, 1, 0, 0, 0, 2, 1, 0, 1, 3, 2, 1, 4, 0, 1, 0, 1, 1, 0, 0, 1, 0]",22,23
2.5,37,"[0.00757, 0.0024, 0.00576, 0.00686]","[0.03268, 0.02236, 0.03932, 0.02849, 0.1082, 0.03737, 0.11647]","[1, 1, 1, 0, 0, 1, 0]",4,7
2.5,38,"[0.00276, 0.00243, 0.00153, 0.00032, 0.00095, 0.00634, 0.00276, 0.00334, 0.00123, 0.00427, 0.00287, 0.00211, 0.00691]","[0.07421, 0.06105, 0.03421, 0.03153, 0.06204]","[2, 1, 5, 3, 2]",13,5
2.5,39,"[0.00268]","[0.05704, 0.06498]","[1, 0]",1,2
2.5,40,"[0.0009, 0.00126]","[0.06309, 0.06868]","[0, 0]",2,2
2.5,41,"[0.00269, 0.00091, 0.0025, 0.00153, 0.00206, 0.00616, 0.00602, 0.00195, 0.00107, 0.00835, 0.00638, 0.00185, 0.0026, 0.0024, 0.00576, 0.00686]","[0.04275, 0.02765, 0.02376, 0.11529, 0.05096, 0.04978, 0.10158, 0.02686, 0.06246, 0.02562, 0.02236, 0.03932, 0.02849, 0.1082, 0.03737, 0.03753]","[1, 0, 1, 3, 2, 1, 4, 0, 1, 0, 1, 1, 0, 0, 1, 0]",16,16
2.5,42,"[0.00422, 0.00227, 0.00432, 0.00848, 0.00637]","[0.10448, 0.04998, 0.05755, 0.03366, 0.03761]","[0, 0, 1, 0, 2]",5,5
2.5,43,"[0.00294, 0.0008, 0.00982, 0.00227, 0.00417, 0.00123]","[0.02403, 0.03775, 0.07028, 0.04893, 0.06989, 0.06362, 0.04812, 0.04904, 0.02866]","[1, 1, 0, 0, 0, 2, 0, 2, 0]",6,9
2.5,44,"[0.00754, 0.00061, 0.00369, 0.00489, 0.00107, 0.00122, 0.00543, 0.00549]","[0.02566, 0.05598, 0.02093]","[1, 0, 6]",8,3
2.5,45,"[0.00234, 0.008, 0.00686, 0.00616, 0.00602, 0.00195, 0.00107, 0.00835]","[0.02349, 0.09723, 0.03737, 0.11647, 0.05096, 0.04978]","[0, 2, 1, 0, 2, 1]",8,6
2.5,46,"[0.00238, 0.00105, 0.00315, 0.00078, 0.00117, 0.00126, 0.00226, 0.00661]","[0.05266, 0.03803, 0.06956, 0.027, 0.04015, 0.11683, 0.05727, 0.05596, 0.05362, 0.07538, 0.03093, 0.02425, 0.02288, 0.03025]","[0, 1, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 0, 0]",8,14
2.5,47,"[0.00078, 0.00117, 0.00105, 0.00315, 0.00238, 0.00331, 0.00498, 0.00762]","[0.02356, 0.05727, 0.09424, 0.027, 0.04015, 0.12127, 0.03803, 0.02337]","[0, 2, 0, 0, 0, 2, 1, 2]",8,8
2.5,48,"[0.00105, 0.00315, 0.00078, 0.00117, 0.00126, 0.00226, 0.00661, 0.00576, 0.00959]","[0.03639, 0.027, 0.04015, 0.11683, 0.05727, 0.05596, 0.05362, 0.07538, 0.03093, 0.02425, 0.02288, 0.03025, 0.07589]","[0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 0, 0, 4]",9,13
2.5,49,"[0.00258, 0.00378, 0.00886, 0.00914, 0.00445, 0.00144]","[0.0323, 0.02349, 0.02098, 0.10256, 0.02417, 0.02031, 0.07229, 0.14472, 0.03692]","[1, 1, 0, 0, 0, 1, 1, 2, 0]",6,9

