2.5,41,"[0.00333, 0.00676, 0.00146, 0.00286, 0.00206, 0.0036, 0.00091, 0.00174, 0.00522, 0.00514, 0.00187, 0.00207]","[0.02493, 0.04465, 0.03494, 0.07028, 0.02006, 0.02247, 0.03421, 0.02295, 0.0243, 0.03273, 0.02864, 0.03046]","[3, 0, 1, 2, 0, 1, 1, 0, 3, 0, 1, 0]",12,12
2.5,42,"[0.00801, 0.0052, 0.00368, 0.00126, 0.00287, 0.00231, 0.00032, 0.00284, 0.00143, 0.00145, 0.00408, 0.00433]","[0.0666, 0.04315, 0.02709, 0.0309, 0.05808, 0.05692, 0.07405, 0.05577, 0.0752, 0.02191, 0.03029]","[0, 0, 2, 2, 2, 1, 0, 1, 2, 1, 1]",12,11
2.5,43,"[0.00336, 0.00432, 0.00485, 0.00151, 0.00439, 0.00159, 0.00563, 0.00179, 0.00565, 0.00282, 0.00627, 0.00703, 0.00093, 0.00165, 0.00274]","[0.05147, 0.05816, 0.0264, 0.06034, 0.02765, 0.06042, 0.10135, 0.02281, 0.02556, 0.02927, 0.03783, 0.06149, 0.02894, 0.03275, 0.03517, 0.04242, 0.06791, 0.02506]","[0, 1, 0, 2, 0, 1, 0, 2, 1, 0, 1, 1, 0, 1, 2, 1, 1, 1]",15,18
2.5,44,"[0.00336, 0.00432, 0.00485, 0.00151, 0.00439, 0.00159, 0.00563, 0.00179, 0.00565, 0.00282, 0.00627, 0.00703, 0.00093, 0.00165, 0.00274]","[0.05147, 0.05816, 0.0264, 0.06034, 0.02765, 0.06042, 0.10135, 0.02281, 0.02556, 0.02927, 0.03783, 0.06149, 0.02894, 0.03275, 0.03517, 0.04242, 0.06791, 0.02506]","[0, 1, 0, 2, 0, 1, 0, 2, 1, 0, 1, 1, 0, 1, 2, 1, 1, 1]",15,18
2.5,45,"[0.00067, 0.00279, 0.00543, 0.00155, 0.0008, 0.00259, 0.0045, 0.00955]","[0.03097, 0.04688, 0.08208, 0.11638, 0.02509, 0.02334, 0.03633, 0.06705]","[0, 1, 0, 0, 1, 1, 3, 2]",8,8
2.5,46,"[0.00573, 0.00358, 0.00208, 0.00664, 0.00513, 0.00017, 0.00345, 0.00088, 0.00927, 0.0075, 0.00208, 0.00208]","[0.08284, 0.04726, 0.02846, 0.0257, 0.02943, 0.02942, 0.05893, 0.07991, 0.05814, 0.04018, 0.08416]","[2, 0, 0, 0, 3, 4, 0, 0, 1, 2, 0]",12,11
2.5,47,"[0.00137]","[0.0703, 0.08384, 0.04734, 0.02386, 0.11948]","[0, 1, 0, 0, 0]",1,5
2.5,48,"[0.00125, 0.00941]","[0.02266, 0.03241, 0.025]","[0, 0, 1]",2,3
2.5,49,"[0.00131, 0.00054, 0.00391, 0.00659]","[0.06265, 0.03923, 0.04123, 0.02746]","[1, 1, 2, 0]",4,4

